,GAIA,TWOMASS,ra,dec,plx,Vmag,Kmag,Teff,Lum
58,5.651694593784332e+17,00133880+8039569,3.41130064067671,80.6657892443504,51.9505,11.124,6.904,3620.0,0.04289027
62,4.25040000959067e+17,00490516+5749037,12.2716338147118,57.8178250582683,168.752,7.3231,3.881,5881.09,1.1770000457763672
63,4.250400009514794e+17,00490622+5748545,12.276158584937502,57.8152139397684,167.99,3.43776,1.988,5919.0,1.35725808518
65,2.552925644460225e+18,00482303+0516497,12.095734692195899,5.28061389702288,134.499,5.74452,3.683,4937.0,0.3002223
67,4.266419550437235e+17,01012006+6121560,15.333537794291999,61.365744948977614,95.0899,10.806,6.483,3523.0,0.02114767
69,2.7887690288967537e+18,,15.8089770186147,20.0978567737645,62.627,11.636,6.831999778747559,3629.0,0.02234584
70,4.3469003655488986e+17,,47.3783830767708,45.73300788157471,57.1088,10.11,5.84000015258789,3991.0,0.061582622285199985
73,3.261730449575181e+17,02170303+3413278,34.263480710153196,34.2242343014778,90.845,4.87193,3.076,5608.69,1.226864
74,,02274591+0425557,36.941259,4.432104,60.22,8.69,5.113,3928.0,0.07879
76,2.548874541191936e+16,02461726+1146309,41.57198672301271,11.7752391805372,61.9128,8.593,5.529,4264.0,0.1586737
77,1.1420765146271488e+17,02441537+2531249,41.064622575780795,25.523365843137608,130.187,10.55,5.961,3430.0,0.01695499
79,2.7527461116889974e+18,00181659+1012100,4.5691246931205,10.2027885168643,59.5952,10.88,6.7410000000000005,3626.0,0.03959034
80,3.853341965327766e+17,00182549+4401376,4.60760189119005,44.0272475646344,280.78700000000003,11.33,5.948,3259.0,0.003884018
81,3.853342308925165e+17,00182256+4401222,4.59535405639756,44.0229547993762,280.69,8.09,4.018,3592.0,0.0370389126444
85,3.690925200048312e+17,00404929+4011133,10.205291291287098,40.187172144985105,55.7562,7.36,5.164,5076.27,0.3834059
87,,,85.378037,53.489801,80.13,9.78,5.76000022888184,3733.0,0.0517032286647
88,1.1433216728822746e+18,06101978+8206256,92.5826931549195,82.1067568511525,105.694,10.48,6.061,3506.0,0.02372837
92,3.382815271394515e+18,06411570+2357278,100.315463031423,23.957716208536,57.8889,8.08,5.546,4617.44,0.2199087
95,1.0037525874294728e+18,,103.518128084453,60.8717138003585,92.3604,10.9964,6.34499979019165,3444.0,0.0189810640415
98,8.834394896326291e+17,07161977+2708331,109.08239748107599,27.142499717662893,81.05,10.845999999999998,6.187,3428.0,0.02659625
