,GAIA,TWOMASS,ra,dec,plx,Vmag,Kmag,Teff,lum
214,,,176.934985,0.804563,299.58,11.12,5.6539998054504400,3040.0,0.00374115956997
215,,,177.264937,14.57206,90.16,2.1181900000000000,1.8799999952316300,8730.0,14.47
224,5.18201792978857E+17,01515108+6426060,27.9630517667235,64.43497837231530,57.7647,11.415,6.937,3584.0,0.0336961960823
226,,02432085+1925452,40.83716,19.429224000000000,52.96,8.23,5.539,4617.0,0.15029
247,3.69979715075949E+18,,185.106386948236,0.58356848155085,57.2962,10.1408,6.010000228881840,3764.0,0.0408283887341
248,,,185.75248200000000,64.030831,55.5,11.63,7.122000217437740,3455.0,0.0310052140661
249,,,187.239952,8.425518000000000,73.77,11.99,6.960000038146970,3156.0,0.017504124806
250,,,189.718549,11.696165000000000,65.04,11.49,6.690999984741210,3312.0,0.0260279582964
251,,12490273+6606366,192.2615,66.1102,98.14,10.838,6.07,3276.0,0.0227066048509
252,,12574030+3513306,194.4178,35.225,55.27,10.57,6.5520000000000000,3793.0,0.0596514660817
266,8.23773494718932E+17,10112218+4927153,152.84225011814,49.4542358772266,205.392,6.6,2.9620000000000000,4019.0,0.105672992139
283,,13194569+4746409,199.940375,47.778032,96.41,8.48,4.494,3603.0,0.0373
294,3.98898716433944E+18,11000432+2249592,165.017737373209,22.8329574053008,148.128,10.068,5.495,3276.0,0.0185720572757
300,,,132.932559,18.124971,55.46,11.54,7.525000095367430,3639.0,0.0225296942809
301,,08552479+7047389,133.8534,70.7942,81.8856,8.81,4.559,4133.0,0.03624853
332,,,142.685768,0.32266100000000000,103.56,11.71,6.870999813079830,3215.0,0.0118870814864
336,,11052903+4331357,166.3691,43.5268,206.94,8.82,4.769,3638.0,0.0230640565985
379,,,39.020367,6.88687,138.72,5.826310000000000,3.450000047683720,4760.0,0.246718551214
391,1.55292105165935E+18,,199.939776133787,47.7780293166949,109.984,8.7478,4.49399995803833,3603.0,0.0373
398,,,227.398304,3.166823,68.99,11.46,6.857999801635740,3352.0,0.0252008639588
406,8.53820948481914E+17,10302530+5559569,157.605454422825,55.99912748411630,77.4032,8.86,5.361000000000000,4070.0,0.0892371673337
410,3.7412972937324E+18,13454354+1453317,206.432398074061,14.8915200297362,183.984,8.46,4.415,3680.0,0.031266155439
437,,,239.11323900000000,15.661617000000000,89.92,3.8445300000000000,2.6600000858306900,6286.0,3.44854
454,1.39124147885741E+18,15400374+4329355,235.015935956666,43.4930712059797,79.9179,11.88,8.202,3375.0,0.0111491794801
