ra,dec,plx,Vmag,Kmag,Teff,Lum,ID,hz_inner,hz_outer
55.8120785025379,-9.76338198693661,110.58,3.5177300000000002,1.619,5037.0,4.16663034833,38511251,174.4356021331445,425.1712058341436
190.414760770214,-1.44940212689437,78.5233,8.4175,1.8730000257492097,6875.0,9.47689722406,502564326,174.2003869453982,392.77155807244475
121.886035371046,-24.3043222755184,51.99,2.83,2.022,6740.22,21.32,154360594,173.7305397365386,393.5007813163225
266.614677315256,27.7206109423448,119.05,3.40843,1.511,5559.0,3.22102404334,460067868,161.75043596705063,384.51788701149957
143.214325909075,51.6772889101801,74.15,3.17886,1.97,6182.0,8.47311991747,150226696,159.38201410910014,368.7059212451805
142.675157487445,-40.46675767230371,54.3053,4.9689,2.67000007629395,6821.0,15.9225711379,500178562,156.4191659333108,353.31486252167497
142.674512452966,-40.4666392323007,53.89,3.6,2.673,6938.0,15.9225711379,5295337,154.6736066050674,348.0294410390309
169.00519599999996,-57.54766899999999,79.71,11.66,13.4230003356934,6182.0,6.887689999999999,471011146,154.47424602436735,357.35255014459665
326.760157598903,-16.1273328761186,73.3761,2.85,2.0140000000000002,7162.0,8.65986,155842257,154.37733862212602,344.98054889029333
134.801894568715,48.0418270367764,68.32,3.1301200000000002,2.66,7907.0,10.124608434299999,456332840,153.76993337152697,337.55652912964604
238.78567631849398,-63.430725065180795,81.24,2.83,2.1519999999999997,7107.54,6.89375810908,341149986,152.71028744785522,341.80599511727365
26.0170480345599,-15.9374818853863,277.51599999999996,3.4960699999999996,1.794,5333.0,0.505734,419015728,150.7657086363211,362.23577843303747
28.9894002237814,-51.6088815517995,57.3774,3.69,1.73,4961.0,11.1962864239,229158436,148.79651219857328,364.0419697788922
12.276158584937502,57.8152139397684,167.99,3.43776,1.9880000000000002,5919.0,1.35725808518,445258206,146.0255344575809,341.5721936387391
220.62675058734902,-64.97513782457679,60.35,3.18,2.425,7950.0,11.7,402546736,146.0099142203528,320.27623360069316
291.3746220000001,3.1147869999999998,65.05,3.3549900000000004,2.443,7087.36,9.70243416624,228896480,145.1397377871483,325.058525356711
275.264244,72.732873,124.11,3.56184,2.2159999999999997,6118.82,2.42926282979,341873045,143.1920533059101,332.1156878243001
28.270440931427693,29.578822803803806,50.87,3.4221800000000004,2.274,6347.6,14.4698020243,28244955,141.9904534624403,326.30477706828424
53.2326880137321,-9.45825874378874,312.219,3.7154800000000003,1.776,5065.0,0.33832140000000005,118572803,140.1927499686612,341.23712652076165
302.181684283206,-66.1820434741888,164.053,3.55,1.933,5590.39,1.2498360000000002,409891396,138.66904923368173,329.1707013056694
12.2716338147118,57.8178250582683,168.752,7.3231,3.8810000000000002,5881.09,1.1770000457763672,445258198,136.8079864009776,320.53983541602037
99.17099327579771,-19.2558673131525,50.4571,3.95,1.564,4794.52,11.67,48237215,134.4124192928857,331.58811352435254
177.673814413788,1.7647270095529601,89.9258,3.59292,2.269,6070.89,3.766435,366661076,129.43206350202036,300.8020467210608
86.1157771605687,-22.448373318400602,112.611,3.59,2.508,6257.89,2.344257,93280676,126.9469565627095,292.7719196466999
110.030743380065,21.982306888623,57.7401,3.52406,2.555,6939.26,9.180161,184842719,125.83113414378539,283.11982566542883
239.11323900000002,15.661617000000001,89.92,3.8445300000000002,2.66000008583069,6286.0,3.44854,471011939,122.81407384228737,282.9227346985984
331.75275857386686,25.3451044828698,84.7637,3.77164,2.5639999999999996,6565.0,3.5068309999999996,357336603,115.55995101044391,263.38504545442015
258.837115,-26.602248,167.08,4.33,1.84,5092.67,0.800968974018,79454735,115.31146378240135,280.2939249175096
